SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
萬華,臺北市,31,,良好,1.8,0.25,0.3,35,29,25,8,15,19,3.9,3.3,90,2019-11-01 15:00,9,27,2,121.507972,25.046503,13
中山,臺北市,29,,良好,3.4,0.31,0.4,34,28,27,9,18,23,5,3,91,2019-11-01 15:00,9,27,2,121.526528,25.062361,12
士林,臺北市,42,,良好,1.4,0.14,0.2,47,45,26,9,3.1,8.1,5,3.5,83,2019-11-01 15:00,6,23,2,121.515389,25.105417,11
淡水,新北市,38,,良好,1.9,0.13,0.2,42,41,23,7,,,,,,2019-11-01 15:00,8,21,2,121.449239,25.1645,10
林口,新北市,34,,良好,1.6,0.16,0.2,40,37,32,9,8.2,11,2.9,4.6,69,2019-11-01 15:00,10,28,2,121.376869,25.077197,9
菜寮,新北市,31,,良好,2.2,0.24,0.3,37,33,22,8,9.5,11,1.2,4.3,75,2019-11-01 15:00,9,24,2,121.481028,25.06895,8
新莊,新北市,34,,良好,2.9,0.22,0.3,38,37,42,11,9.2,12,2.5,7.4,57,2019-11-01 15:00,10,35,2,121.4325,25.037972,7
板橋,新北市,31,,良好,2,0.28,0.3,34,31,33,10,17,20,2.4,5.1,72,2019-11-01 15:00,10,29,2,121.458667,25.012972,6
土城,新北市,31,,良好,1.5,0.27,0.3,36,34,33,10,11,13,1.2,2.1,321,2019-11-01 15:00,9,27,2,121.451861,24.982528,5
新店,新北市,34,,良好,4.3,0.21,0.3,36,37,25,9,7.8,8.7,0.9,2.1,115,2019-11-01 15:00,9,22,,121.537778,24.977222,4
萬里,新北市,44,,良好,1.2,0.1,0.1,47,45,41,10,5.8,7.3,1.5,5.8,50,2019-11-01 15:00,10,47,1,121.689881,25.179667,3
汐止,新北市,33,,良好,1.5,0.19,0.3,45,36,25,6,7.4,9.4,2,4.3,29,2019-11-01 15:00,8,26,2,121.6423,25.067131,2
基隆,基隆市,39,,良好,1.3,0.17,0.2,43,42,30,8,4.7,5.5,0.8,1.5,61,2019-11-01 15:00,9,31,1,121.760056,25.129167,1
